parent_sku,child_sku,color_tempartore,Wattage_Options
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-WM,"4000K (recommended)","24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-SL,"4000K (recommended)","24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-BM,"4000K (recommended)","24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-TO,"4000K (recommended)","24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-40K-IM,"4000K (recommended)","24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-WH,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-WM,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-SL,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-BM,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-TO,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-50K-IM,5000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-WH,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-WM,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-SL,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-BM,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-TO,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-30K-IM,3000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-WH,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-WM,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-SL,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-BM,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-TO,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-35K-IM,3500K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-WH,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-WM,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-SL,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-BM,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-TO,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-40K-IM,"4000K (recommended)","36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-WH,5000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-WM,5000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-SL,5000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-BM,5000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-TO,5000K,"36 Watts"
TF-ECLMW224L,TF-ECLMW224L-H36W2900LDMV-50K-IM,5000K,"36 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-WH,3000K,"32 Watts"
TF-ECLMW248L,TF-ECLMW248L-S32W2900LDMV-30K-SL,3000K,"32 Watts"
