parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-CITE48L,TF-CITE48L-FRF48W5600LLBDMV50K,"48 Watts",5000K
TF-CITE48L,TF-CITE48L-FRF57W6800LLBDMV30K,"57 Watts",3000K
TF-CITE48L,TF-CITE48L-FRF57W6800LLBDMV35K,"57 Watts",3500K
TF-CITE48L,TF-CITE48L-FRF57W6800LLBDMV40K,"57 Watts",4000K
TF-CITE48L,TF-CITE48L-FRF57W6800LLBDMV50K,"57 Watts",5000K
TF-CITE96L,TF-CITE96L-RFV74W9200LLBDMV30K,"74 Watts (Ribbed Lens)",3000K
TF-CITE96L,TF-CITE96L-RFV74W9200LLBDMV35K,"74 Watts (Ribbed Lens)",3500K
TF-CITE96L,TF-CITE96L-RFV74W9200LLBDMV40K,"74 Watts (Ribbed Lens)",4000K
TF-CITE96L,TF-CITE96L-RFV74W9200LLBDMV50K,"74 Watts (Ribbed Lens)",5000K
TF-CITE96L,TF-CITE96L-FRF97W11200LLBDMV30K,"97 Watts (Frosted Lens)",3000K
TF-CITE96L,TF-CITE96L-FRF97W11200LLBDMV35K,"97 Watts (Frosted Lens)",3500K
TF-CITE96L,TF-CITE96L-FRF97W11200LLBDMV40K,"97 Watts (Frosted Lens)",4000K
TF-CITE96L,TF-CITE96L-FRF97W11200LLBDMV50K,"97 Watts (Frosted Lens)",5000K
TF-UDLL22L,TF-UDLL22L-J28W3200LDMV-30K,"28 Watts",3000K
TF-UDLL22L,TF-UDLL22L-J28W3200LDMV-35K,"28 Watts",3500K
TF-UDLL22L,TF-UDLL22L-J28W3200LDMV-40K,"28 Watts",4000K
TF-UDLL22L,TF-UDLL22L-J28W3200LDMV-50K,"28 Watts",5000K
TF-UDLL22L,TF-UDLL22L-J35W4200LDMV-30K,"35 Watts",3000K
TF-UDLL22L,TF-UDLL22L-J35W4200LDMV-35K,"35 Watts",3500K
TF-UDLL22L,TF-UDLL22L-J35W4200LDMV-40K,"35 Watts",4000K
TF-UDLL22L,TF-UDLL22L-J35W4200LDMV-50K,"35 Watts",5000K
TF-UDLL24L,TF-UDLL24L-J48W6000LDMV-30K,"48 Watts",3000K
TF-UDLL24L,TF-UDLL24L-J48W6000LDMV-35K,"48 Watts",3500K
TF-UDLL24L,TF-UDLL24L-J48W6000LDMV-40K,"48 Watts",4000K
TF-UDLL24L,TF-UDLL24L-J48W6000LDMV-50K,"48 Watts",5000K
TF-UDLL24L,TF-UDLL24L-J57W7100LDMV-30K,"57 Watts",3000K
TF-UDLL24L,TF-UDLL24L-J57W7100LDMV-35K,"57 Watts",3500K
TF-UDLL24L,TF-UDLL24L-J57W7100LDMV-40K,"57 Watts",4000K
TF-UDLL24L,TF-UDLL24L-J57W7100LDMV-50K,"57 Watts",5000K
TF-44RSF48L,TF-44RSF48L-R24W2400LDMV-30KWH,"24 Watts",3000K
TF-44RSF48L,TF-44RSF48L-R24W2400LDMV-35KWH,"24 Watts",3500K
TF-44RSF48L,TF-44RSF48L-R24W2400LDMV-40KWH,"24 Watts",4000K
TF-44RSF48L,TF-44RSF48L-R24W2400LDMV-50KWH,"24 Watts",5000K
TF-44RSF48L,TF-44RSF48L-R48W4800LDMV-30KWH,"48 Watts",3000K
TF-44RSF48L,TF-44RSF48L-R48W4800LDMV-35KWH,"48 Watts",3500K
TF-44RSF48L,TF-44RSF48L-R48W4800LDMV-40KWH,"48 Watts",4000K
TF-44RSF48L,TF-44RSF48L-R48W4800LDMV-50KWH,"48 Watts",5000K
TF-44RSF96L,TF-44RSF96L-R48W4800LDMV-30KWH,"48 Watts",3000K
TF-44RSF96L,TF-44RSF96L-R48W4800LDMV-35KWH,"48 Watts",3500K
TF-44RSF96L,TF-44RSF96L-R48W4800LDMV-40KWH,"48 Watts",4000K
TF-44RSF96L,TF-44RSF96L-R48W4800LDMV-50KWH,"48 Watts",5000K
TF-44RSF96L,TF-44RSF96L-R96W9600LDMV-30KWH,"96 Watts",3000K
TF-44RSF96L,TF-44RSF96L-R96W9600LDMV-35KWH,"96 Watts",3500K
TF-44RSF96L,TF-44RSF96L-R96W9600LDMV-40KWH,"96 Watts",4000K
TF-44RSF96L,TF-44RSF96L-R96W9600LDMV-50KWH,"96 Watts",5000K
TF-44RFSF96L,TF-44RFSF96L-R48W4800L-30KWH,"48 Watts",3000K
TF-44RFSF96L,TF-44RFSF96L-R48W4800L-35KWH,"48 Watts",3500K
TF-44RFSF96L,TF-44RFSF96L-R48W4800L-40KWH,"48 Watts",4000K
TF-44RFSF96L,TF-44RFSF96L-R48W4800L-50KWH,"48 Watts",5000K
TF-44RFSF96L,TF-44RFSF96L-R96W9600L-30KWH,"97 Watts",3000K
TF-44RFSF96L,TF-44RFSF96L-R96W9600L-35KWH,"97 Watts",3500K
TF-44RFSF96L,TF-44RFSF96L-R96W9600L-40KWH,"97 Watts",4000K
TF-44RFSF96L,TF-44RFSF96L-R96W9600L-50KWH,"97 Watts",5000K
TF-44WSF48L,TF-44WSF48L-R24W2400LDMV-30KWH,"24 Watts (Downlight Only)",3000K
TF-44WSF48L,TF-44WSF48L-R24W2400LDMV-35KWH,"24 Watts (Downlight Only)",3500K
TF-44WSF48L,TF-44WSF48L-R24W2400LDMV-40KWH,"24 Watts (Downlight Only)",4000K
TF-44WSF48L,TF-44WSF48L-R24W2400LDMV-50KWH,"24 Watts (Downlight Only)",5000K
TF-44WSF48L,TF-44WSF48L-R48W4800LDMV-30KWH,"48 Watts  (Downlight Only)",3000K
TF-44WSF48L,TF-44WSF48L-R48W4800LDMV-35KWH,"48 Watts  (Downlight Only)",3500K
TF-44WSF48L,TF-44WSF48L-R48W4800LDMV-40KWH,"48 Watts  (Downlight Only)",4000K
TF-44WSF48L,TF-44WSF48L-R48W4800LDMV-50KWH,"48 Watts  (Downlight Only)",5000K
TF-44WSF48L,TF-44WSF48L-UR12WD24WDMV-30KWH,"12W Up / 24W Down",3000K
TF-44WSF48L,TF-44WSF48L-UR12WD24WDMV-35KWH,"12W Up / 24W Down",3500K
TF-44WSF48L,TF-44WSF48L-UR12WD24WDMV-40KWH,"12W Up / 24W Down",4000K
TF-44WSF48L,TF-44WSF48L-UR12WD24WDMV-50KWH,"12W Up / 24W Down",5000K
TF-44WSF48L,TF-44WSF48L-UR18WD36WDMV-30KWH,"18W Up / 36W Down",3000K
TF-44WSF48L,TF-44WSF48L-UR18WD36WDMV-35KWH,"18W Up / 36W Down",3500K
TF-44WSF48L,TF-44WSF48L-UR18WD36WDMV-40KWH,"18W Up / 36W Down",4000K
TF-44WSF48L,TF-44WSF48L-UR18WD36WDMV-50KWH,"18W Up / 36W Down",5000K
TF-44WSF96L,TF-44WSF96L-R48W4800LDMV-30KWH,"48 Watts (Downlight Only)",3000K
TF-44WSF96L,TF-44WSF96L-R48W4800LDMV-35KWH,"48 Watts (Downlight Only)",3500K
TF-44WSF96L,TF-44WSF96L-R48W4800LDMV-40KWH,"48 Watts (Downlight Only)",4000K
TF-44WSF96L,TF-44WSF96L-R48W4800LDMV-50KWH,"48 Watts (Downlight Only)",5000K
TF-44WSF96L,TF-44WSF96L-R96W9600LDMV-30KWH,"96 Watts (Downlight Only)",3000K
TF-44WSF96L,TF-44WSF96L-R96W9600LDMV-35KWH,"96 Watts (Downlight Only)",3500K
TF-44WSF96L,TF-44WSF96L-R96W9600LDMV-40KWH,"96 Watts (Downlight Only)",4000K
TF-44WSF96L,TF-44WSF96L-R96W9600LDMV-50KWH,"96 Watts (Downlight Only)",5000K
TF-44WSF96L,TF-44WSF96L-UR24WD48WDMV-30KWH,"24W Up / 48W Down",3000K
TF-44WSF96L,TF-44WSF96L-UR24WD48WDMV-35KWH,"24W Up / 48W Down",3500K
TF-44WSF96L,TF-44WSF96L-UR24WD48WDMV-40KWH,"24W Up / 48W Down",4000K
TF-44WSF96L,TF-44WSF96L-UR24WD48WDMV-50KWH,"24W Up / 48W Down",5000K
TF-44WSF96L,TF-44WSF96L-UR36WD72WDMV-30KWH,"36W Up / 72W Down",3000K
TF-44WSF96L,TF-44WSF96L-UR36WD72WDMV-35KWH,"36W Up / 72W Down",3500K
TF-44WSF96L,TF-44WSF96L-UR36WD72WDMV-40KWH,"36W Up / 72W Down",4000K
TF-44WSF96L,TF-44WSF96L-UR36WD72WDMV-50KWH,"36W Up / 72W Down",5000K
TF-66RSF96L,TF-66RSF96L-R48W4800LDMV-30KWH,"48 Watts",3000K
TF-66RSF96L,TF-66RSF96L-R48W4800LDMV-35KWH,"48 Watts",3500K
TF-66RSF96L,TF-66RSF96L-R48W4800LDMV-40KWH,"48 Watts",4000K
TF-66RSF96L,TF-66RSF96L-R48W4800LDMV-50KWH,"48 Watts",5000K
TF-66RSF96L,TF-66RSF96L-R96W9600LDMV-30KWH,"96 Watts",3000K
TF-66RSF96L,TF-66RSF96L-R96W9600LDMV-35KWH,"96 Watts",3500K
TF-66RSF96L,TF-66RSF96L-R96W9600LDMV-40KWH,"96 Watts",4000K
TF-66RSF96L,TF-66RSF96L-R96W9600LDMV-50KWH,"96 Watts",5000K
TF-CIRDC11L,TF-CIRDC11L-13W900LD120-30K,"13 Watts",3000K
TF-CIRDC11L,TF-CIRDC11L-13W900LD120-40K,"13 Watts",4000K
TF-CIRDC11L,TF-CIRDC11L-14W1350LD120-30K,"14 Watts",3000K
TF-CIRDC11L,TF-CIRDC11L-14W1350LD120-40K,"14 Watts",4000K
TF-FHBL48L,TF-FHBL48L-S32W4050LW30DMV-30K,"32 Watts",3000K
TF-FHBL48L,TF-FHBL48L-S32W4050LW30DMV-35K,"32 Watts",3500K
TF-FHBL48L,TF-FHBL48L-S32W4050LW30DMV-40K,"32 Watts",4000K
TF-FHBL48L,TF-FHBL48L-S32W4050LW30DMV-50K,"32 Watts",5000K
TF-FHBL48L,TF-FHBL48L-S48W5400LW30DMV-30K,"48 Watts",3000K
TF-FHBL48L,TF-FHBL48L-S48W5400LW30DMV-35K,"48 Watts",3500K
TF-FHBL48L,TF-FHBL48L-S48W5400LW30DMV-40K,"48 Watts",4000K
TF-FHBL48L,TF-FHBL48L-S48W5400LW30DMV-50K,"48 Watts",5000K
TF-FHBL48L,TF-FHBL48L-S57W6000LW30DMV-30K,"57 Watts",3000K
TF-FHBL48L,TF-FHBL48L-S57W6000LW30DMV-35K,"57 Watts",3500K
TF-FHBL48L,TF-FHBL48L-S57W6000LW30DMV-40K,"57 Watts",4000K
TF-FHBL48L,TF-FHBL48L-S57W6000LW30DMV-50K,"57 Watts",5000K
TF-FHBL48L,TF-FHBL48L-H72W7600LW30DMV-30K,"75 Watts",3000K
TF-FHBL48L,TF-FHBL48L-H72W7600LW30DMV-35K,"75 Watts",3500K
TF-FHBL48L,TF-FHBL48L-H72W7600LW30DMV-40K,"75 Watts",4000K
TF-FHBL48L,TF-FHBL48L-H72W7600LW30DMV-50K,"75 Watts",5000K
TF-FHBL96L,TF-FHBL96L-S97W10800LW30DMV-30K,"97 Watts",3000K
TF-FHBL96L,TF-FHBL96L-S97W10800LW30DMV-35K,"97 Watts",3500K
TF-FHBL96L,TF-FHBL96L-S97W10800LW30DMV-40K,"97 Watts",4000K
TF-FHBL96L,TF-FHBL96L-S97W10800LW30DMV-50K,"97 Watts",5000K
TF-FHBL96L,TF-FHBL96L-S114W12000LW30DMV-30K,"114 Watts",3000K
TF-FHBL96L,TF-FHBL96L-S114W12000LW30DMV-35K,"114 Watts",3500K
TF-FHBL96L,TF-FHBL96L-S114W12000LW30DMV-40K,"114 Watts",4000K
TF-FHBL96L,TF-FHBL96L-S114W12000LW30DMV-50K,"114 Watts",5000K
TF-HBC22L,TF-HBC22L-N63W9000LA10DMV-30K,"63 Watts",3000K
TF-HBC22L,TF-HBC22L-N63W9000LA10DMV-35K,"63 Watts",3500K
TF-HBC22L,TF-HBC22L-N63W9000LA10DMV-40K,"63 Watts",4000K
TF-HBC22L,TF-HBC22L-N63W9000LA10DMV-50K,"63 Watts",5000K
TF-HBC22L,TF-HBC22L-Z110W16000LA10DMV-30K,"110 Watts",3000K
TF-HBC22L,TF-HBC22L-Z110W16000LA10DMV-35K,"110 Watts",3500K
TF-HBC22L,TF-HBC22L-Z110W16000LA10DMV-40K,"110 Watts",4000K
TF-HBC22L,TF-HBC22L-Z110W16000LA10DMV-50K,"110 Watts",5000K
TF-HBC22L,TF-HBC22L-Z144W20000LA10DMV-30K,"144 Watts",3000K
TF-HBC22L,TF-HBC22L-Z144W20000LA10DMV-35K,"144 Watts",3500K
TF-HBC22L,TF-HBC22L-Z144W20000LA10DMV-40K,"144 Watts",4000K
TF-HBC22L,TF-HBC22L-Z144W20000LA10DMV-50K,"144 Watts",5000K
TF-HOTCE11L,TF-HOTCE11L-13W900LD120-30K,"13 Watts",3000K
TF-HOTCE11L,TF-HOTCE11L-13W900LD120-40K,"13 Watts",4000K
TF-HOTCE11L,TF-HOTCE11L-14W1350LD120-30K,"14 Watts",3000K
TF-HOTCE11L,TF-HOTCE11L-14W1350LD120-40K,"14 Watts",4000K
TF-HOTCE14L,TF-HOTCE14L-14W1350LD120-30K,"14 Watts",3000K
TF-HOTCE14L,TF-HOTCE14L-14W1350LD120-40K,"14 Watts",4000K
TF-HOTCE14L,TF-HOTCE14L-23W1850LD120-30K,"23 Watts",3000K
TF-HOTCE14L,TF-HOTCE14L-23W1850LD120-40K,"23 Watts",4000K
TF-LINMW48L,TF-LINMW48L-US24WD12WDMV-30KWH-HC3015WWH,"24W Up / 12W Down",3000K
TF-LINMW48L,TF-LINMW48L-US24WD12WDMV-35KWH-HC3015WWH,"24W Up / 12W Down",3500K
TF-LINMW48L,TF-LINMW48L-US24WD12WDMV-40KWH-HC3015WWH,"24W Up / 12W Down",4000K
TF-LINMW48L,TF-LINMW48L-US24WD12WDMV-50KWH-HC3015WWH,"24W Up / 12W Down",5000K
TF-LINMW48L,TF-LINMW48L-US36WD18WDMV-30KWH-HC3015WWH,"36W Up / 18W Down",3000K
TF-LINMW48L,TF-LINMW48L-US36WD18WDMV-35KWH-HC3015WWH,"36W Up / 18W Down",3500K
TF-LINMW48L,TF-LINMW48L-US36WD18WDMV-40KWH-HC3015WWH,"36W Up / 18W Down",4000K
TF-LINMW48L,TF-LINMW48L-US36WD18WDMV-50KWH-HC3015WWH,"36W Up / 18W Down",5000K
TF-LINMW96L,TF-LINMW96L-US48WD24WDMV-30KWH-HC3015WWH,"48W Up / 24W Down",3000K
TF-LINMW96L,TF-LINMW96L-US48WD24WDMV-35KWH-HC3015WWH,"48W Up / 24W Down",3500K
TF-LINMW96L,TF-LINMW96L-US48WD24WDMV-40KWH-HC3015WWH,"48W Up / 24W Down",4000K
TF-LINMW96L,TF-LINMW96L-US48WD24WDMV-50KWH-HC3015WWH,"48W Up / 24W Down",5000K
TF-LINMW96L,TF-LINMW96L-US72WD36WDMV-30KWH-HC3015WWH,"72W Up / 36W Down",3000K
TF-LINMW96L,TF-LINMW96L-US72WD36WDMV-35KWH-HC3015WWH,"72W Up / 36W Down",3500K
TF-LINMW96L,TF-LINMW96L-US72WD36WDMV-40KWH-HC3015WWH,"72W Up / 36W Down",4000K
TF-LINMW96L,TF-LINMW96L-US72WD36WDMV-50KWH-HC3015WWH,"72W Up / 36W Down",5000K
TF-CITE24LFR,TF-CITE24LFR-F24W2700LLBDMV-30K,"24 Watts",3000K
TF-CITE24LFR,TF-CITE24LFR-F24W2700LLBDMV-35K,"24 Watts",3500K
TF-CITE24LFR,TF-CITE24LFR-F24W2700LLBDMV-40K,"24 Watts",4000K
TF-CITE24LFR,TF-CITE24LFR-F24W2700LLBDMV-50K,"24 Watts",5000K
TF-CITE24LFR,TF-CITE24LFR-F28W3300LLBDMV-30K,"28 Watts",3000K
TF-CITE24LFR,TF-CITE24LFR-F28W3300LLBDMV-35K,"28 Watts",3500K
TF-CITE24LFR,TF-CITE24LFR-F28W3300LLBDMV-40K,"28 Watts",4000K
TF-CITE24LFR,TF-CITE24LFR-F28W3300LLBDMV-50K,"28 Watts",5000K
TF-CITE48LFR,TF-CITE48LFR-F48W5600LLBDMV-30K,"48 Watts",3000K
TF-CITE48LFR,TF-CITE48LFR-F48W5600LLBDMV-35K,"48 Watts",3500K
TF-CITE48LFR,TF-CITE48LFR-F48W5600LLBDMV-40K,"48 Watts",4000K
TF-CITE48LFR,TF-CITE48LFR-F48W5600LLBDMV-50K,"48 Watts",5000K
TF-CITE48LFR,TF-CITE48LFR-F57W6800LLBDMV-30K,"57 Watts",3000K
TF-CITE48LFR,TF-CITE48LFR-F57W6800LLBDMV-35K,"57 Watts",3500K
TF-CITE48LFR,TF-CITE48LFR-F57W6800LLBDMV-40K,"57 Watts",4000K
TF-CITE48LFR,TF-CITE48LFR-F57W6800LLBDMV-50K,"57 Watts",5000K
TF-CITE96LFR,TF-CITE96LFR-F97W11200LLBDMV-30K,"97 Watts",3000K
TF-CITE96LFR,TF-CITE96LFR-F97W11200LLBDMV-35K,"97 Watts",3500K
TF-CITE96LFR,TF-CITE96LFR-F97W11200LLBDMV-40K,"97 Watts",4000K
TF-CITE96LFR,TF-CITE96LFR-F97W11200LLBDMV-50K,"97 Watts",5000K
TF-CITE96LFR,TF-CITE96LFR-F114W13600LLBDMV-30K,"114 Watts",3000K
TF-CITE96LFR,TF-CITE96LFR-F114W13600LLBDMV-35K,"114 Watts",3500K
TF-CITE96LFR,TF-CITE96LFR-F114W13600LLBDMV-40K,"114 Watts",4000K
TF-CITE96LFR,TF-CITE96LFR-F114W13600LLBDMV-50K,"114 Watts",5000K
TF-EOS,TF-EOS-12W900LD12030KSQ,"12 Watts",3000K
TF-EOS,TF-EOS-12W900LD12040KSQ,"12 Watts",4000K
TF-EOS,TF-EOS-15W1350LD12030KSQ,"15 Watts",3000K
TF-EOS,TF-EOS-15W1350LD12040KSQ,"15 Watts",4000K
TF-EOS,TF-EOS-22W1850LD12030KSQ,"22 Watts",3000K
TF-EOS,TF-EOS-22W1850LD12040KSQ,"22 Watts",4000K
TF-PLIN48L,TF-PLIN48L-S48W5900LDMV-30KWHHC4015WWH,"48 Watts",3000K
TF-PLIN48L,TF-PLIN48L-S48W5900LDMV-35KWHHC4015WWH,"48 Watts",3500K
TF-PLIN48L,TF-PLIN48L-S48W5900LDMV-40KWHHC4015WWH,"48 Watts",4000K
TF-PLIN48L,TF-PLIN48L-S48W5900LDMV-50KWHHC4015WWH,"48 Watts",5000K
TF-PLIN48L,TF-PLIN48L-S57W6400LDMV-30KWHHC4015WWH,"57 Watts",3000K
TF-PLIN48L,TF-PLIN48L-S57W6400LDMV-35KWHHC4015WWH,"57 Watts",3500K
TF-PLIN48L,TF-PLIN48L-S57W6400LDMV-40KWHHC4015WWH,"57 Watts",4000K
TF-PLIN48L,TF-PLIN48L-S57W6400LDMV-50KWHHC4015WWH,"57 Watts",5000K
TF-SS213A24L,TF-SS213A24L-E15W1500LDMV(XX)-30K,"15 Watts",3000K
TF-SS213A24L,TF-SS213A24L-E15W1500LDMV(XX)-35K,"15 Watts",3500K
TF-SS213A24L,TF-SS213A24L-E15W1500LDMV(XX)-40K,"15 Watts",4000K
TF-SS213A24L,TF-SS213A24L-E15W1500LDMV(XX)-50K,"15 Watts",5000K
TF-SS213A24L,TF-SS213A24L-E24W2700LDMV(XX)-30K,"24 Watts",3000K
TF-SS213A24L,TF-SS213A24L-E24W2700LDMV(XX)-35K,"24 Watts",3500K
TF-SS213A24L,TF-SS213A24L-E24W2700LDMV(XX)-40K,"24 Watts",4000K
TF-SS213A24L,TF-SS213A24L-E24W2700LDMV(XX)-50K,"24 Watts",5000K
LT-LED-AFC4,LT-LED-AFC4-10W560LM-2700K,"10 Watts\, 560 Lumens",2700K
LT-LED-AFC4,LT-LED-AFC4-10W560LM-3000K,"10 Watts\, 560 Lumens",3000K
LT-LED-AFC4,LT-LED-AFC4-10W560LM-4000K,"10 Watts\, 560 Lumens",4000K
LT-LED-AFC4,LT-LED-AFC4-12W650LM-2700K,"12 Watts\, 650 Lumens",2700K
LT-LED-AFC4,LT-LED-AFC4-12W650LM-3000K,"12 Watts\, 650 Lumens",3000K
LT-LED-AFC4,LT-LED-AFC4-12W650LM-4000K,"12 Watts\, 650 Lumens",4000K
LT-LEDH-S55-UTD,LT-LEDH-S55-14-827-UTD,"14 Watts",2700K
LT-LEDH-S55-UTD,LT-LEDH-S55-14-830-UTD,"14 Watts",3000K
LT-LEDH-S55-UTD,LT-LEDH-S55-14-835-UTD,"14 Watts",3500K
LT-LEDH-S55-UTD,LT-LEDH-S55-14-840-UTD,"14 Watts",4000K
LT-LEDH-S55-UTD,LT-LEDH-S55-22-827-UTD,"22 Watts",2700K
LT-LEDH-S55-UTD,LT-LEDH-S55-22-830-UTD,"22 Watts",3000K
LT-LEDH-S55-UTD,LT-LEDH-S55-22-835-UTD,"22 Watts",3500K
LT-LEDH-S55-UTD,LT-LEDH-S55-22-840-UTD,"22 Watts",4000K
LT-LEDH-S55-UTD,LT-LEDH-S55-32-827-UTD,"32 Watts",2700K
LT-LEDH-S55-UTD,LT-LEDH-S55-32-830-UTD,"32 Watts",3000K
LT-LEDH-S55-UTD,LT-LEDH-S55-32-835-UTD,"32 Watts",3500K
LT-LEDH-S55-UTD,LT-LEDH-S55-32-840-UTD,"32 Watts",4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-SSLMW4,"13.2 Watts",3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-MSLMW4,"20.4 Watts",3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-HSSLMW4,"27.6 Watts",3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-30-HMSLMW4,"41.2 Watts",3000K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-SSLMW4,"13.2 Watts",3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-MSLMW4,"20.4 Watts",3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-HSSLMW4,"27.6 Watts",3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-35-HMSLMW4,"41.2 Watts",3500K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-SSLMW4,"13.2 Watts",4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-MSLMW4,"20.4 Watts",4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-HSSLMW4,"27.6 Watts",4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-40-HMSLMW4,"41.2 Watts",4000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-SSLMW4,"13.2 Watts",5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-MSLMW4,"20.4 Watts",5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-HSSLMW4,"27.6 Watts",5000K
AEL-LDL4RWWA,AEL-LDL4RWWA-50-HMSLMW4,"41.2 Watts",5000K
AEL-LVTP4,AEL-LVTP4-30-SLM,"33 Watts",3000K
AEL-LVTP4,AEL-LVTP4-30-MLM,"57 Watts",3000K
AEL-LVTP4,AEL-LVTP4-30-HLM,"80 Watts",3000K
AEL-LVTP4,AEL-LVTP4-30-MMM,"93 Watts",3000K
AEL-LVTP4,AEL-LVTP4-35-SLM,"33 Watts",3500K
AEL-LVTP4,AEL-LVTP4-35-MLM,"57 Watts",3500K
AEL-LVTP4,AEL-LVTP4-35-HLM,"80 Watts",3500K
AEL-LVTP4,AEL-LVTP4-35-MMM,"93 Watts",3500K
AEL-LVTP4,AEL-LVTP4-40-SLM,"33 Watts",4000K
AEL-LVTP4,AEL-LVTP4-40-MLM,"57 Watts",4000K
AEL-LVTP4,AEL-LVTP4-40-HLM,"80 Watts",4000K
AEL-LVTP4,AEL-LVTP4-40-MMM,"93 Watts",4000K
AEL-LVTP4,AEL-LVTP4-50-SLM,"33 Watts",5000K
AEL-LVTP4,AEL-LVTP4-50-MLM,"57 Watts",5000K
AEL-LVTP4,AEL-LVTP4-50-HLM,"80 Watts",5000K
AEL-LVTP4,AEL-LVTP4-50-MMM,"93 Watts",5000K
AEL-LTDL24,AEL-LTDL24DA-30HSM4A4B4CW,"40 Watts",3000K
AEL-LTDL24,AEL-LTDL24DA-30HMSM4A4B4CW,"80 Watts",3000K
AEL-LTDL24,AEL-LTDL24DA-35HSM4A4B4CW,"40 Watts",3500K
AEL-LTDL24,AEL-LTDL24DA-35HMSM4A4B4CW,"80 Watts",3500K
AEL-LTDL24,AEL-LTDL24DA-40HSM4A4B4CW,"40 Watts",4000K
AEL-LTDL24,AEL-LTDL24DA-40HMSM4A4B4CW,"80 Watts",4000K
AEL-LTDL24,AEL-LTDL24DA-50HSM4A4B4CW,"40 Watts",5000K
AEL-LTDL24,AEL-LTDL24DA-50HMSM4A4B4CW,"80 Watts",5000K
AEL-PLSW18,AEL-PLSW18-30-SSWM,"26.4 Watts",3000K
AEL-PLSW18,AEL-PLSW18-30-MSWM,"48.8 Watts",3000K
AEL-PLSW18,AEL-PLSW18-30-HSSWM,"55.2 Watts",3000K
AEL-PLSW18,AEL-PLSW18-30-HMSWM,"82.4 Watts",3000K
AEL-PLSW18,AEL-PLSW18-35-SSWM,"26.4 Watts",3500K
AEL-PLSW18,AEL-PLSW18-35-MSWM,"48.8 Watts",3500K
AEL-PLSW18,AEL-PLSW18-35-HSSWM,"55.2 Watts",3500K
AEL-PLSW18,AEL-PLSW18-35-HMSWM,"82.4 Watts",3500K
AEL-PLSW18,AEL-PLSW18-40-SSWM,"26.4 Watts",4000K
AEL-PLSW18,AEL-PLSW18-40-MSWM,"48.8 Watts",4000K
AEL-PLSW18,AEL-PLSW18-40-HSSWM,"55.2 Watts",4000K
AEL-PLSW18,AEL-PLSW18-40-HMSWM,"82.4 Watts",4000K
AEL-PLSW18,AEL-PLSW18-50-SSWM,"26.4 Watts",5000K
AEL-PLSW18,AEL-PLSW18-50-MSWM,"48.8 Watts",5000K
AEL-PLSW18,AEL-PLSW18-50-HSSWM,"55.2 Watts",5000K
AEL-PLSW18,AEL-PLSW18-50-HMSWM,"82.4 Watts",5000K
AEL-PLSW14,AEL-PLSW14-30-SSWM,"13.2 Watts",3000K
AEL-PLSW14,AEL-PLSW14-30-MSWM,"20.4 Watts",3000K
AEL-PLSW14,AEL-PLSW14-30-HSSWM,"27.6 Watts",3000K
AEL-PLSW14,AEL-PLSW14-30-HMSWM,"41.2 Watts",3000K
AEL-PLSW14,AEL-PLSW14-35-SSWM,"13.2 Watts",3500K
AEL-PLSW14,AEL-PLSW14-35-MSWM,"20.4 Watts",3500K
AEL-PLSW14,AEL-PLSW14-35-HSSWM,"27.6 Watts",3500K
AEL-PLSW14,AEL-PLSW14-35-HMSWM,"41.2 Watts",3500K
AEL-PLSW14,AEL-PLSW14-40-SSWM,"13.2 Watts",4000K
AEL-PLSW14,AEL-PLSW14-40-MSWM,"20.4 Watts",4000K
AEL-PLSW14,AEL-PLSW14-40-HSSWM,"27.6 Watts",4000K
AEL-PLSW14,AEL-PLSW14-40-HMSWM,"41.2 Watts",4000K
AEL-PLSW14,AEL-PLSW14-50-SSWM,"13.2 Watts",5000K
AEL-PLSW14,AEL-PLSW14-50-MSWM,"20.4 Watts",5000K
AEL-PLSW14,AEL-PLSW14-50-HSSWM,"27.6 Watts",5000K
AEL-PLSW14,AEL-PLSW14-50-HMSWM,"41.2 Watts",5000K
AEL-LSMF4,AEL-LSMF4-30-SLAM,"33 Watts",3000K
AEL-LSMF4,AEL-LSMF4-30-MLAM,"57 Watts",3000K
AEL-LSMF4,AEL-LSMF4-30-HLAM,"80 Watts",3000K
AEL-LSMF4,AEL-LSMF4-30-SMAM,"86 Watts",3000K
AEL-LSMF4,AEL-LSMF4-30-MMAM,"93 Watts",3000K
AEL-LSMF4,AEL-LSMF4-30-HMAM,"112 Watts",3000K
