product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Main Cable Length","Wattage & Lumen Options","Color Temperature (CCT)"," Wattage Options","Voltage Options"," Main Cable Length","Finish Options"," Output Voltage","Fixture Wattage","Lens Options","Height Options","Fixture Options","End Cap Finish Options","Wattage & Optics Options","Wattage & Optic Options"," Driver Option","LED Module & Wattage Options","Select Size","Select Size (W x L)","End Cap Options","Wattage  Options",WattageOptions,"Wattage & Globe Options"," Metal Trim Ring Finish","Reflector Finish","Wattage & Lumen","Pendant Mounting Kit"
1979,NL-TP260,NL-TP260-W20-30K,154.3,154.3,,,,0,,"20 Watts / 2,400 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W20-30K,154.3,154.3,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W20-40K,154.3,154.3,,,,0,,"20 Watts / 2,400 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W20-40K,154.3,154.3,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W20-50K,154.3,154.3,,,,0,,"20 Watts / 2,400 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W20-50K,154.3,154.3,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-30K,164.3,164.3,,,,0,,"35 Watts / 4,200 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-30K,164.3,164.3,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-40K,164.3,164.3,,,,0,,"35 Watts / 4,200 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-40K,164.3,164.3,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-50K,164.3,164.3,,,,0,,"35 Watts / 4,200 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
1979,NL-TP260,NL-TP260-W35-50K,164.3,164.3,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,,,
1981,ILP-SS8-12L-U,ILP-SS8-12L-U-35-FRL,131.43,131.43,,,,0,,,3500K,,,,,,,,,,,,,,,,,,,,,,,,
1981,ILP-SS8-12L-U,ILP-SS8-12L-U-40-FRL,131.43,131.43,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,
1981,ILP-SS8-12L-U,ILP-SS8-12L-U-50-FRL,131.43,131.43,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-30W-40K,,95.92,,,,0,,,,"30 Watts",,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-30W-40K,,95.92,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,95.92,95.92,,,,0,,,,"30 Watts",,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,95.92,95.92,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,97.96,97.96,,,,0,,,,"40 Watts",,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,97.96,97.96,,,,0,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-40W-50K,,95.92,,,,0,,,,"40 Watts",,,,,,,,,,,,,,,,,,,,,,,
2015,TL-TECBTA-24,TL-TECBTA-24-40W-50K,,95.92,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,,,
2019,TL-TECBTA-22,TL-TECBTA-22-20W-50KD1WJ,65.35,65.35,,,,0,,,,"20 Watts",,,,,,,,,,,,,,,,,,,,,,,
2019,TL-TECBTA-22,TL-TECBTA-22-40W-50KD1WJ,69.4,69.4,,,,0,,,,"40 Watts",,,,,,,,,,,,,,,,,,,,,,,
2057,NL-NBQL,NL-NBQL-75W-30K-V,194.3,194.3,,,,0,,"75 Watts / 11,250 Lumens",,,,,,,,,,,,,,,,,,,,,,,,,
2057,NL-NBQL,NL-NBQL-75W-30K-V,194.3,194.3,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,,,
2057,NL-NBQL,NL-NBQL-75W-30K-V,194.3,194.3,,,,0,,,,,100-277V,,,,,,,,,,,,,,,,,,,,,,
